SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTUJDG,Aditya Birla Sun Life Mutual Fund - ABSL FTP -Sr UJ (1110D) -DP-GO,MF,31-MAR-2023,10,1,INF209KB13V6,10
ABSLFTUJDN,Aditya Birla Sun Life Mutual Fund - ABSL FTP -Sr UJ (1110D) -DP-IDCWPO,MF,31-MAR-2023,10,1,INF209KB14V4,10
ABSLFTUJRG,Aditya Birla Sun Life Mutual Fund - ABSL FTP -Sr UJ (1110D) -RP-GO,MF,31-MAR-2023,10,1,INF209KB11V0,10
ABSLFTUJRN,Aditya Birla Sun Life Mutual Fund - ABSL FTP -Sr UJ (1110D) -RP-IDCWPO,MF,31-MAR-2023,10,1,INF209KB12V8,10
BPF01D1D,Baroda BNP Paribas Credit Risk Fund SG1 Direct Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IW0,10
BPF01D1R,Baroda BNP Paribas Credit Risk Fund SG1 Direct Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IX8,10
BPF01D2G,Baroda BNP Paribas Credit Risk Fund SG1 Direct Growth,MF,23-MAR-2020,1,1,INF955L01IT6,10
BPF01D3D,Baroda BNP Paribas Credit Risk Fund SG1 Direct Quarterly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IU4,10
BPF01D3R,Baroda BNP Paribas Credit Risk Fund SG1 Direct Quarterly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IV2,10
BPF01GPG,Baroda BNP Paribas Credit Risk Fund SG1 Regular Growth,MF,23-MAR-2020,1,1,INF955L01IO7,10
BPF01MDD,Baroda BNP Paribas Credit Risk Fund SG1 Regular Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IR0,10
BPF01MDR,Baroda BNP Paribas Credit Risk Fund SG1 Regular Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IS8,10
BPF01QDD,Baroda BNP Paribas Credit Risk Fund SG1 Regular Quarterly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IP4,10
BPF01QDR,Baroda BNP Paribas Credit Risk Fund SG1 Regular Quarterly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IQ2,10
BPF02D1R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JK3,1000
BPF02D2G,Baroda BNP Paribas Medium Duration Fund SG1 Direct Growth,MF,23-MAR-2020,1,1,INF955L01JF3,1000
BPF02D3D,Baroda BNP Paribas Medium Duration Fund SG1 Direct Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JI7,1000
BPF02D3R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JJ5,1000
BPF02D4D,Baroda BNP Paribas Medium Duration Fund SG1 Direct Qtly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JG1,1000
BPF02D4R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Qtly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JH9,1000
BPF02D5R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Weekly Reinvt,MF,23-MAR-2020,1,1,INF955L01JL1,1000
BPF02IDR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JD8,1000
BPF02IGG,Baroda BNP Paribas Medium Duration Fund SG1 Regular Growth,MF,23-MAR-2020,1,1,INF955L01IY6,1000
BPF02IMD,Baroda BNP Paribas Medium Duration Fund SG1 Regular Mthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JB2,1000
BPF02IMR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Mthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JC0,1000
BPF02IQD,Baroda BNP Paribas Medium Duration Fund SG1 Regular Qtly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IZ3,1000
BPF02IWR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Weekly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JE6,1000
BPF02RDR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JN7,1000
BPF02RGG,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Growth,MF,23-MAR-2020,1,1,INF955L01JM9,1000
BPF02RMD,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Mthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JP2,1000
BPF02RMR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Mthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JQ0,1000
BPF02RWR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Weekly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JO5,1000
DPDPOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01116,10
DPGOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01108,10
F13DG,Union Mutual Fund - Union Fixed Maturity Plan-Sr 13(1114D) -DP-G,MF,10-APR-2023,10,1,INF582M01IW0,10
F13RG,Union Mutual Fund - Union Fixed Maturity Plan -Sr 13(1114D) -RP-G,MF,10-APR-2023,10,1,INF582M01IY6,10
F13RP,Union Mutual Fund - Union Fixed Maturity Plan -Sr 13(1114D)-RP-IDCWP,MF,10-APR-2023,10,1,INF582M01IZ3,10
FICRF3DP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser RG,MF,24-MAR-2020,1,1,INF090I01VW5,1
FICRF3GP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se RDP,MF,24-MAR-2020,1,1,INF090I01VX3,1
FICRFD3DPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se DDP,MF,24-MAR-2020,1,1,INF090I01VY1,1
FICRFD3GPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser DG,MF,24-MAR-2020,1,1,INF090I01VZ8,1
FISTIP3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RDG,MF,24-MAR-2020,1,1,INF090I01VN4,1
FISTIP3MDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDWDP,MF,24-MAR-2020,1,1,INF090I01VP9,1
FISTIP3QDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDMDP,MF,24-MAR-2020,1,1,INF090I01VO2,1
FISTIP3WDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDQDP,MF,24-MAR-2020,1,1,INF090I01VQ7,1
FISTIPD3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser IRG,MF,24-MAR-2020,1,1,INF090I01VS3,1
FISTIPD3MD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RRG,MF,24-MAR-2020,1,1,INF090I01VU9,1
FISTIPD3QD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRMDP,MF,24-MAR-2020,1,1,INF090I01VT1,1
FISTIPD3WD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRWDP,MF,24-MAR-2020,1,1,INF090I01VV7,1
FISTIPIP3G,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRQDP,MF,24-MAR-2020,1,1,INF090I01VR5,1
H1158D46DD,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-NIDCWP,MF,02-AUG-2022,10,1,INF179KC1CV7,10
H1158D46DG,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-G,MF,02-AUG-2022,10,1,INF179KC1CU9,10
H1158D46DQ,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - DP-QIDCWP,MF,02-AUG-2022,10,1,INF179KC1CW5,10
H1158D46RD,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-NIDCWP,MF,02-AUG-2022,10,1,INF179KC1CY1,10
H1158D46RG,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-G,MF,02-AUG-2022,10,1,INF179KC1CX3,10
H1158D46RQ,HDFC Mutual Fund - HDFC FMP 1158D July 2022 - Sr 46 -Pl 4 - RP-QIDCWP,MF,02-AUG-2022,10,1,INF179KC1CZ8,10
H1162D46DD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DPN - IDCW,MF,23-MAR-2022,10,1,INF179KC1CJ2,10
H1162D46DG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DP - G,MF,23-MAR-2022,10,1,INF179KC1CI4,10
H1162D46DQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - DPQ - IDCW,MF,23-MAR-2022,10,1,INF179KC1CK0,10
H1162D46RD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RPN - IDCW,MF,23-MAR-2022,10,1,INF179KC1CM6,10
H1162D46RG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RP - G,MF,23-MAR-2022,10,1,INF179KC1CL8,10
H1162D46RQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RPQ - IDCW,MF,23-MAR-2022,10,1,INF179KC1CN4,10
H1861D46DD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPN - IDCW,MF,16-MAR-2022,10,1,INF179KC1CD5,10
H1861D46DG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DP - G,MF,16-MAR-2022,10,1,INF179KC1CC7,10
H1861D46DQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CE3,10
H1861D46RD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - IDCW,MF,16-MAR-2022,10,1,INF179KC1CG8,10
H1861D46RG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - G,MF,16-MAR-2022,10,1,INF179KC1CF0,10
H1861D46RQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CH6,10
H187646RG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - RO - G,MF,05-APR-2022,10,1,INF179KC1CR5,10
H1876D46DD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DON - IDCW,MF,05-APR-2022,10,1,INF179KC1CP9,10
H1876D46DG,HDFC Mutual Fund - HDFC FMP -Series 46-Plan 3-DO-G,MF,05-APR-2022,10,1,INF179KC1CO2,10
H1876D46DQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DOQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CQ7,10
H1876D46RD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RON - IDCW,MF,05-APR-2022,10,1,INF179KC1CS3,10
H1876D46RQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - ROQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CT1,10
HDFC1204DD,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-NIDCWPO,MF,03-JAN-2023,10,1,INF179KC1EO8,10
HDFC1204DG,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-GO,MF,03-JAN-2023,10,1,INF179KC1EN0,10
HDFC1204DQ,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - DO-QIDCWPO,MF,03-JAN-2023,10,1,INF179KC1EP5,10
HDFC1204RD,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-NIDCWPO,MF,03-JAN-2023,10,1,INF179KC1ER1,10
HDFC1204RG,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-GO,MF,03-JAN-2023,10,1,INF179KC1EQ3,10
HDFC1204RQ,HDFC Mutual Fund - HDFC FMP - Sr 47 - 1204D Dec 2022 - RO-QIDCWPO,MF,03-JAN-2023,10,1,INF179KC1ES9,10
HDFC1359DD,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-NIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DP7,10
HDFC1359DG,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-GO,MF,18-OCT-2022,10,1,INF179KC1DO0,10
HDFC1359DQ,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-DP-QIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DQ5,10
HDFC1359RD,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-NIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DS1,10
HDFC1359RG,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-GO,MF,18-OCT-2022,10,1,INF179KC1DR3,10
HDFC1359RQ,HDFC Mutual Fund - HDFC FMP -Sr 46 -HDFC FMP 1359D Sep 2022-RP-QIDCWPO,MF,18-OCT-2022,10,1,INF179KC1DT9,10
HDFC1406DD,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-NIDCWP,MF,01-SEP-2022,10,1,INF179KC1DD3,10
HDFC1406DG,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-GO,MF,01-SEP-2022,10,1,INF179KC1DC5,10
HDFC1406DQ,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - DO-QIDCWP,MF,01-SEP-2022,10,1,INF179KC1DE1,10
HDFC1406RD,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-NIDCWP,MF,01-SEP-2022,10,1,INF179KC1DG6,10
HDFC1406RG,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-GO,MF,01-SEP-2022,10,1,INF179KC1DF8,10
HDFC1406RQ,HDFC Mutual Fund - HDFC FMP - Sr 46 - 1406D Aug 2022 - RO-QIDCWP,MF,01-SEP-2022,10,1,INF179KC1DH4,10
HDFC2638DG,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - DP-GO,MF,02-MAR-2023,10,1,INF179KC1FK3,10
HDFC2638DQ,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - DP-QIDCWPO,MF,02-MAR-2023,10,1,INF179KC1FM9,10
HDFC2638RD,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - RP-NIDCWPO,MF,02-MAR-2023,10,1,INF179KC1FO5,10
HDFC2638RG,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - RP-GO,MF,02-MAR-2023,10,1,INF179KC1FN7,10
HDFC2638RQ,HDFC Mutual Fund - HDFC FMP Sr 47 - 2638D Feb 2023 - RP-QIDCWPO,MF,02-MAR-2023,10,1,INF179KC1FP2,10
HFMPCC50DD,HDFC Mutual Fund - HDFC Charity Fund for Cancer Cure-DP-50% IDCWPO,MF,23-AUG-2023,10,1,INF179KC1HA0,10
HFMPCC50RD,HDFC Mutual Fund - HDFC Charity Fund for Cancer Cure-RP-50% IDCWPO,MF,23-AUG-2023,10,1,INF179KC1HC6,10
HFMPCC75DD,HDFC Mutual Fund - HDFC Charity Fund for Cancer Cure-DP-75% IDCWPO,MF,23-AUG-2023,10,1,INF179KC1HB8,10
HFMPCC75RD,HDFC Mutual Fund - HDFC Charity Fund for Cancer Cure-RP-75% IDCWPO,MF,23-AUG-2023,10,1,INF179KC1HD4,10
HFMPM23DGR,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-DP-GO,MF,28-MAR-2023,10,1,INF179KC1FU2,10
HFMPM23DND,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-DP-NIDCWPO,MF,28-MAR-2023,10,1,INF179KC1FV0,10
HFMPM23DQD,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-DP-QIDCWPO,MF,28-MAR-2023,10,1,INF179KC1FW8,10
HFMPM23RGR,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-RP-GO,MF,28-MAR-2023,10,1,INF179KC1FX6,10
HFMPM23RND,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-RP-NIDCWPO,MF,28-MAR-2023,10,1,INF179KC1FY4,10
HFMPM23RQD,HDFC Mutual Fund - HDFC FMP 1269D Mar 2023 -HDFC FMP -Sr 47-RP-QIDCWPO,MF,28-MAR-2023,10,1,INF179KC1FZ1,10
IF3DPD,Franklin Templeton Mutual Fund - FIDAF-Segregated Portfolio 3 Ser RDP,MF,24-MAR-2020,1,1,INF090I01WA9,1
IF3GPD,Franklin Templeton Mutual Fund - FIDAF-Segregated Portfolio 3 Ser DGO,MF,24-MAR-2020,1,1,INF090I01WB7,1
IFD3DPD,Franklin Templeton Mutual Fund - FIDAF-Segregated Portfolio 3 Ser DDP,MF,24-MAR-2020,1,1,INF090I01WC5,1
IFD3GPD,Franklin Templeton Mutual Fund - FIDAF-Segregated Portfolio 3 Ser RGO,MF,24-MAR-2020,1,1,INF090I01WD3,1
NMFINAIDR1,NIPPON INDIA MF - NIPPON INDIA IF - AIF S-I - IDR,MF,07-AUG-2013,10,1,INF204K01EE2,10
NMFINARDR1,NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-AIF-SI - RP- DP - RO,MF,01-APR-2011,10,1,INF204K01EB8,10
NMFINQIDP1,NIPPON INDIA MUTUAL FUND- NIPPON INDIA Int.Fund-QIF-SI-IP-DP-DPO,MF,01-APR-2011,10,1,INF204K01DL9,10
NMFINQRAG1,NIPPON INDIA MF - NIPPON INDIA Intr Fund - QIF SR I-GRW,MF,04-MAR-2014,10,1,INF204K01XT0,10
NMFINQRDP1,NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-QIF-SI-RP-DP-DPO,MF,01-APR-2011,10,1,INF204K01DI5,10
PGIMCSA1G,PGIM India Money Market Fund-Seg Port 1 - Dir Pln - Growth,MF,20-MAR-2020,1,1,INF663L01U65,10
PGIMCSA2D,PGIM India Money Market Fund-Seg Port 1 - Dir Pln - Monthly IDCW,MF,20-MAR-2020,1,1,INF663L01U73,10
PGIMCSA3D,PGIM India Money Market Fund-Seg Port 1 - Dir Pln - Qtrly IDCW,MF,20-MAR-2020,1,1,INF663L01U81,10
PGIMCSA4D,PGIM India Money Market Fund-Seg Port 1 - Dir Pln - Annual IDCW,MF,20-MAR-2020,1,1,INF663L01U99,10
PGIMCSR1D,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Annual IDCW,MF,20-MAR-2020,1,1,INF663L01V31,10
PGIMCSR2G,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Growth,MF,20-MAR-2020,1,1,INF663L01V07,10
PGIMCSR3D,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Monthly IDCW,MF,20-MAR-2020,1,1,INF663L01V15,10
PGIMCSR4D,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Qtr IDCW,MF,20-MAR-2020,1,1,INF663L01V23,10
RMFINMRDR2,Reliance Mutual Fund - Reliance Int. Fund - MIF - SII - RP- DP - RO,MF,01-APR-2011,10,1,INF204K01DD6,10
RMFINMRGG2,Reliance Mutual Fund - Reliance Int. Fund - MIF - SII - RP- GP - GO,MF,01-APR-2011,10,1,INF204K01DB0,10
SFMP1DD,SBI MF - SBI Fixed Maturity Plan (FMP) Series ¿ 1 (3668 Days)-DP-DP,MF,04-APR-2019,10,1,INF200KA1D11,10
SFMP1DR,SBI MF - SBI Fixed Maturity Plan (FMP) Series ¿ 1 (3668 Days)-RP-DP,MF,04-APR-2019,10,1,INF200KA1C95,10
SFMP1GD,SBI MF - SBI Fixed Maturity Plan (FMP) Series ¿ 1 (3668 Days)-DP-G,MF,04-APR-2019,10,1,INF200KA1D03,10
SFMP1GR,SBI MF - SBI Fixed Maturity Plan (FMP) Series ¿ 1 (3668 Days)-RP-G,MF,04-APR-2019,10,1,INF200KA1C87,10
SFMP41DD,SBI Mutual Fund - SBI Fixed Maturity Plan (FMP) - Series 41 (1498 Days,MF,05-APR-2021,10,1,INF200KA1U85,10
SFMP41DR,SBI Mutual Fund - SBI Fixed Maturity Plan (FMP) - Series 41 (1498 Days,MF,05-APR-2021,10,1,INF200KA1U69,10
SFMP41GD,SBI Mutual Fund - SBI Fixed Maturity Plan (FMP) - Series 41 (1498 Days,MF,05-APR-2021,10,1,INF200KA1U77,10
SFMP41GR,SBI Mutual Fund - SBI Fixed Maturity Plan (FMP) - Series 41 (1498 Days,MF,05-APR-2021,10,1,INF200KA1U51,10
SFMP42DD,SBI Mutual Fund - SBI FMP- Series 42 (1857 Days)-DP-IDCW Payout,MF,07-APR-2021,10,1,INF200KA1V27,10
SFMP42DR,SBI Mutual Fund - SBI FMP- Series 42 (1857 Days)-RP-IDCW Payout,MF,07-APR-2021,10,1,INF200KA1V01,10
SFMP42GD,SBI Mutual Fund- SBI FMP- Series 42 (1857 Days)-DPG,MF,07-APR-2021,10,1,INF200KA1V19,10
SFMP42GR,SBI Mutual Fund - SBI FMP- Series 42 (1857 Days)-RPG,MF,07-APR-2021,10,1,INF200KA1U93,10
SFMP43DD,SBI Mutual Fund - SBI FMP - Series 43 (1616 Days) - DP - IDCW Payout,MF,06-MAY-2021,10,1,INF200KA1V68,10
SFMP43DR,SBI Mutual Fund - SBI FMP - Series 43 (1616 Days) - RP - IDCW Payout,MF,06-MAY-2021,10,1,INF200KA1V43,10
SFMP43GD,SBI Mutual Fund - SBI FMP - Series 43 (1616 Days) - DPG,MF,06-MAY-2021,10,1,INF200KA1V50,10
SFMP43GR,SBI Mutual Fund - SBI FMP - Series 43 (1616 Days) - RPG,MF,06-MAY-2021,10,1,INF200KA1V35,10
SFMP47DD,SBI Mutual Fund - SBI FMP - Series 47 (1434 Days)-DP-IDCW Payout,MF,30-JUL-2021,10,1,INF200KA1X90,10
SFMP47DR,SBI Mutual Fund - SBI FMP - Series 47 (1434 Days)-RP-IDCW Payout,MF,30-JUL-2021,10,1,INF200KA1X74,10
SFMP47GD,SBI Mutual Fund - SBI FMP - Series 47 (1434 Days)-DPG,MF,30-JUL-2021,10,1,INF200KA1X82,10
SFMP47GR,SBI Mutual Fund - SBI FMP - Series 47 (1434 Days)-RPG,MF,30-JUL-2021,10,1,INF200KA1X66,10
SFMP48DD,SBI Mutual Fund-SBI FMP-Series 48 (1458 Days)-DP IDCW Payout,MF,11-AUG-2021,10,1,INF200KA1Y32,10
SFMP48DR,SBI Mutual Fund-SBI FMP-Series 48 (1458 Days)-RP -IDCW Payout,MF,11-AUG-2021,10,1,INF200KA1Y16,10
SFMP48GD,SBI Mutual Fund-SBI FMP-Series 48 (1458 Days)-DP-G,MF,11-AUG-2021,10,1,INF200KA1Y24,10
SFMP48GR,SBI Mutual Fund-SBI FMP-Series 48 (1458 Days)-RP-G,MF,11-AUG-2021,10,1,INF200KA1Y08,10
SFMP49DD,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-DP-IDCW Payout,MF,31-AUG-2021,10,1,INF200KA1Z31,10
SFMP49DR,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-RP-IDCW Payout,MF,31-AUG-2021,10,1,INF200KA1Z15,10
SFMP49GD,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-DP-G,MF,31-AUG-2021,10,1,INF200KA1Z23,10
SFMP49GR,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-RP-G,MF,31-AUG-2021,10,1,INF200KA1Z07,10
SFMP50DD,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days) -DP-IDCW Payout,MF,15-SEP-2021,10,1,INF200KA1Z72,10
SFMP50DR,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days) -RP-IDCW Payout,MF,15-SEP-2021,10,1,INF200KA1Z56,10
SFMP50GD,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days)-DP-G,MF,15-SEP-2021,10,1,INF200KA1Z64,10
SFMP50GR,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days)-RP-G,MF,15-SEP-2021,10,1,INF200KA1Z49,10
SFMP61DD,SBI Mutual Fund - SBI FMP S61 - SFMP61DD-DP- IDCW Payout Option,MF,29-MAR-2022,10,1,INF200KA14F8,10
SFMP61DR,SBI Mutual Fund - SBI FMP S61 - SFMP61DR-RP - IDCW Payout,MF,29-MAR-2022,10,1,INF200KA12F2,10
SFMP61GD,SBI Mutual Fund - SBI FMP S61 - SFMP61GD-DP-Growth Option,MF,29-MAR-2022,10,1,INF200KA13F0,10
